INSEE,Codepos,Commune,Departement
1001,01400,L ABERGEMENT CLEMENCIAT,AIN
1002,01640,L ABERGEMENT DE VAREY,AIN
1003,01090,AMAREINS,AIN
1004,01500,AMBERIEU EN BUGEY,AIN
1005,01330,AMBERIEUX EN DOMBES,AIN
1006,01300,AMBLEON,AIN
1007,01500,AMBRONAY,AIN
1008,01500,AMBUTRIX,AIN
1009,01300,ANDERT ET CONDON,AIN
1010,01350,ANGLEFORT,AIN
1011,01100,APREMONT,AIN
1012,01110,ARANC,AIN
1013,01230,ARANDAS,AIN
1014,01100,ARBENT,AIN
1015,01300,ARBIGNIEU,AIN
1016,01190,ARBIGNY,AIN
1017,01230,ARGIS,AIN
1019,01510,ARMIX,AIN
1021,01480,ARS SUR FORMANS,AIN
1022,01510,ARTEMARE,AIN
1023,01570,ASNIERES SUR SAONE,AIN
1024,01340,ATTIGNAT,AIN
1025,01380,BAGE LA VILLE,AIN
1026,01380,BAGE LE CHATEL,AIN
1027,01360,BALAN,AIN
1028,01990,BANEINS,AIN
1029,01270,BEAUPONT,AIN
1030,01480,BEAUREGARD,AIN
1031,01810,BELLIGNAT,AIN
1032,01360,BELIGNEUX,AIN
1033,01200,BELLEGARDE SUR VALSERINE,AIN
1034,01300,BELLEY,AIN
1035,01130,BELLEYDOUX,AIN
1036,01260,BELMONT LUTHEZIEU,AIN
1037,01470,BENONCES,AIN
1038,01370,BENY,AIN
1039,01350,BEON,AIN
1040,01340,BEREZIAT,AIN
1041,01500,BETTANT,AIN
1042,01290,BEY,AIN
1043,01700,BEYNOST,AIN
1044,01200,BILLIAT,AIN
1045,01330,BIRIEUX,AIN
1046,01290,BIZIAT,AIN
1047,01150,BLYES,AIN
1048,01250,BOHAS,AIN
1049,01120,LA BOISSE,AIN
1050,01190,BOISSEY,AIN
1051,01450,BOLOZON,AIN
1052,01330,BOULIGNEUX,AIN
1053,01000,BOURG EN BRESSE,AIN
1054,01800,BOURG ST CHRISTOPHE,AIN
1055,01100,BOUVENT,AIN
1056,01640,BOYEUX ST JEROME,AIN
1057,01190,BOZ,AIN
1058,01300,BREGNIER CORDON,AIN
1059,01260,BRENAZ,AIN
1060,01110,BRENOD,AIN
1061,01300,BRENS,AIN
1062,01360,BRESSOLLES,AIN
1063,01460,BRION,AIN
1064,01470,BRIORD,AIN
1065,01310,BUELLAS,AIN
1066,01510,LA BURBANCHE,AIN
1067,01430,CEIGNES,AIN
1068,01450,CERDON,AIN
1069,01240,CERTINES,AIN
1070,01090,CESSEINS,AIN
1071,01170,CESSY,AIN
1072,01250,CEYZERIAT,AIN
1073,01350,CEYZERIEU,AIN
1074,01320,CHALAMONT,AIN
1075,01480,CHALEINS,AIN
1076,01230,CHALEY,AIN
1077,01450,CHALLES,AIN
1078,01630,CHALLEX,AIN
1079,01260,CHAMPAGNE EN VALROMEY,AIN
1080,01110,CHAMPDOR,AIN
1081,01410,CHAMPFROMIER,AIN
1082,01420,CHANAY,AIN
1083,01990,CHANEINS,AIN
1084,01400,CHANOZ CHATENAY,AIN
1085,01240,LA CHAPELLE DU CHATELARD,AIN
1086,01260,CHARANCIN,AIN
1087,01130,CHARIX,AIN
1088,01800,CHARNOZ SUR AIN,AIN
1089,01500,CHATEAU GAILLARD,AIN
1090,01320,CHATENAY,AIN
1091,01200,CHATILLON EN MICHAILLE,AIN
1092,01320,CHATILLON LA PALUD,AIN
1093,01400,CHATILLON SUR CHALARONNE,AIN
1094,01190,CHAVANNES SUR REYSSOUZE,AIN
1095,01250,CHAVANNES SUR SURAN,AIN
1096,01660,CHAVEYRIAT,AIN
1097,01510,CHAVORNAY,AIN
1098,01300,CHAZEY BONS,AIN
1099,01150,CHAZEY SUR AIN,AIN
1100,01510,CHEIGNIEU LA BALME,AIN
1101,01430,CHEVILLARD,AIN
1102,01190,CHEVROUX,AIN
1103,01170,CHEVRY,AIN
1104,01200,CHEZERY FORENS,AIN
1105,01390,CIVRIEUX,AIN
1106,01250,CIZE,AIN
1107,01230,CLEYZIEU,AIN
1108,01270,COLIGNY,AIN
1109,01550,COLLONGES,AIN
1110,01300,COLOMIEU,AIN
1111,01230,CONAND,AIN
1112,01430,CONDAMINE,AIN
1113,01400,CONDEISSIAT,AIN
1114,01200,CONFORT,AIN
1115,01310,CONFRANCON,AIN
1116,01300,CONTREVOZ,AIN
1117,01300,CONZIEU,AIN
1118,01420,CORBONOD,AIN
1119,01110,CORCELLES,AIN
1120,01120,CORDIEUX,AIN
1121,01110,CORLIER,AIN
1122,01110,CORMARANCHE EN BUGEY,AIN
1123,01290,CORMORANCHE SUR SAONE,AIN
1124,01560,CORMOZ,AIN
1125,01250,CORVEISSIAT,AIN
1127,01370,COURMANGOUX,AIN
1128,01560,COURTES,AIN
